id_delito,generico,subgenerico,articulo,des_articulo
147,CONTRA LA SEGURIDAD PUBLICA,"CONTRA LA SALUD PUBLICA (CONTAMINACION Y PROPAGACION, TRAFICO ILICITO DE DROGAS)",294,"Suministro infiel de productos farmacéuticos, dispositivos médicos o productos sanitarios"
148,CONTRA LA SEGURIDAD PUBLICA,"CONTRA LA SALUD PUBLICA (CONTAMINACION Y PROPAGACION, TRAFICO ILICITO DE DROGAS)",296,Promoción o favorecimiento al Tráfico Ilícito de Drogas y otros
149,CONTRA LA SEGURIDAD PUBLICA,"CONTRA LA SALUD PUBLICA (CONTAMINACION Y PROPAGACION, TRAFICO ILICITO DE DROGAS)",298,Microcomercialización o microproducción
150,CONTRA LA SEGURIDAD PUBLICA,"CONTRA LA SALUD PUBLICA (CONTAMINACION Y PROPAGACION, TRAFICO ILICITO DE DROGAS)",302,Inducción o instigación al consumo de droga
151,CONTRA LA SEGURIDAD PUBLICA,"CONTRA LA SALUD PUBLICA (CONTAMINACION Y PROPAGACION, TRAFICO ILICITO DE DROGAS)",294-B,"Comercialización de productos farmacéuticos, dispositivos médicos o productos sanitarios sin garantía de buen estado"
152,CONTRA LA SEGURIDAD PUBLICA,"CONTRA LA SALUD PUBLICA (CONTAMINACION Y PROPAGACION, TRAFICO ILICITO DE DROGAS)",296-A,Comercialización y cultivo de amapola y marihuana y su siembra compulsiva
153,CONTRA LA SEGURIDAD PUBLICA,"CONTRA LA SALUD PUBLICA (CONTAMINACION Y PROPAGACION, TRAFICO ILICITO DE DROGAS)",S/Art,DELITOS CONTRA LA SALUD PÚBLICA
154,CONTRA LA SEGURIDAD PUBLICA,CONTRA LA SEGURIDAD PUBLICA (Sin especificar delito subgenérico),S/Art,DELITO CONTRA LA SEGURIDAD PÚBLICA
155,CONTRA LA SEGURIDAD PUBLICA,"CONTRA LOS MEDIOS DE TRANSP., COMUNIC. Y OTROS SERV. PÚBLICOS",283,Entorpecimiento al funcionamiento de servicios públicos
156,CONTRA LA SEGURIDAD PUBLICA,DELITO DE PELIGRO COMUN,273,Peligro por medio de incendio o explosión
157,CONTRA LA SEGURIDAD PUBLICA,DELITO DE PELIGRO COMUN,274,Conducción en estado de ebriedad o drogadicción
